chrom	start	end	gene_polyA	feature	strand
2L	1167954	1168011	NM_001258900_1167172	last_intron	-
2L	1170553	1170610	NM_164408_1170789	last_intron	+
2L	1170956	1171029	NM_134737_1170753	last_intron	-
2L	1177191	1177255	NM_001272930_1177589	last_intron	+
2L	1177191	1177255	NM_134738_1177496	last_intron	+
2L	1182104	1182169	NM_001258901_1182454	last_intron	+
2L	1183471	1183528	NM_134740_1182297	last_intron	-
2L	1184254	1184322	NM_134741_1185698	last_intron	+
2L	1192625	1196215	NM_001258903_1196807	last_intron	+
2L	1204841	1204900	NM_134744_1205250	last_intron	+
2L	1229185	1229252	NM_134746_1229802	last_intron	+
2L	1240970	1241050	NM_001272936_1243018	last_intron	+
2L	1240970	1241050	NM_134747_1242205	last_intron	+
2L	1289728	1292647	NM_001272937_1296596	last_intron	+
2L	1289728	1292647	NM_134748_1294687	last_intron	+
2L	1329324	1329381	NM_057650_1329993	last_intron	+
2L	1334759	1334818	NM_001298629_1335514	last_intron	+
2L	1334759	1334818	NM_134750_1334932	last_intron	+
2L	1341520	1341588	NM_001032045_1341365	last_intron	-
2L	1343598	1343658	NM_001032046_1343443	last_intron	-
2L	1344515	1344569	NM_164412_1345135	last_intron	+
2L	1344515	1344580	NM_001258907_1345135	last_intron	+
2L	1352641	1352697	NM_001298630_1351805	last_intron	-
2L	1352641	1352697	NM_134751_1351728	last_intron	-
2L	1353838	1353887	NM_134752_1352970	last_intron	-
2L	1355629	1355701	NM_134754_1354911	last_intron	-
2L	1359110	1359171	NM_001169381_1358925	last_intron	-
2L	1360373	1360491	NM_001272938_1359983	last_intron	-
2L	1360373	1360491	NM_001298631_1359837	last_intron	-
2L	1368479	1368529	NM_001298632_1369050	last_intron	+
2L	1382632	1384926	NM_001272939_1380086	last_intron	-
2L	1499421	1499557	NM_134757_1498455	last_intron	-
2L	1499421	1499674	NM_164421_1498455	last_intron	-
2L	1501036	1501096	NM_134758_1500835	last_intron	-
2L	1501036	1501098	NM_001272942_1500784	last_intron	-
2L	1521916	1521982	NM_078729_1522156	last_intron	+
2L	1524027	1524090	NM_058077_1524257	last_intron	+
2L	1586788	1586851	NM_134761_1584866	last_intron	-
2L	1595543	1595597	NM_134764_1594822	last_intron	-
2L	1604885	1606389	NM_001298635_1608404	last_intron	+
2L	1605485	1606389	NM_001272944_1608404	last_intron	+
2L	1611868	1612005	NM_134765_1612576	last_intron	+
2L	1612988	1613043	NM_001272947_1612429	last_intron	-
2L	1612988	1613043	NM_080009_1612547	last_intron	-
2L	1612988	1613043	NM_164426_1612696	last_intron	-
2L	1695586	1695648	NM_001201751_1698617	last_intron	+
2L	1695586	1695648	NM_001258910_1704682	last_intron	+
2L	1695586	1695648	NM_134766_1697837	last_intron	+
2L	1705114	1705399	NM_057657_1706777	last_intron	+
2L	1705280	1705399	NM_001272948_1706962	last_intron	+
2L	1707998	1708060	NM_134768_1707132	last_intron	-
2L	1710697	1710850	NM_001272949_1711365	last_intron	+
2L	1710697	1710850	NM_134769_1711465	last_intron	+
2L	1711867	1711927	NM_001272950_1711600	last_intron	-
2L	1711867	1711927	NM_001272951_1711302	last_intron	-
2L	1717229	1717597	NM_001258911_1716244	last_intron	-
2L	1717229	1717597	NM_134771_1716899	last_intron	-
2L	1726655	1726752	NM_001169382_1725060	last_intron	-
2L	1726655	1727645	NM_058073_1724974	last_intron	-
2L	1726655	1727645	NM_164434_1724768	last_intron	-
2L	1731816	1731879	NM_001272952_1731033	last_intron	-
2L	1731816	1731879	NM_134773_1731358	last_intron	-
2L	1749676	1749741	NM_134774_1750612	last_intron	+
2L	1755405	1755467	NM_164437_1755253	last_intron	-
2L	1758658	1758932	NM_134777_1758286	last_intron	-
2L	1785078	1785133	NM_164438_1785286	last_intron	+
2L	1789293	1789351	NM_001272953_1789141	last_intron	-
2L	1790769	1790824	NM_164439_1790617	last_intron	-
2L	1792209	1792260	NM_001014456_1792057	last_intron	-
2L	1793831	1793896	NM_164440_1793668	last_intron	-
2L	1824695	1824761	NM_001272954_1824172	last_intron	-
2L	1824695	1824761	NM_164442_1824273	last_intron	-
2L	1832366	1832423	NM_134779_1831627	last_intron	-
2L	1855797	1856429	NM_001258913_1858550	last_intron	+
2L	1859001	1862719	NM_001272955_1858609	last_intron	-
2L	1859001	1864931	NM_001258914_1858609	last_intron	-
2L	1942663	1942784	NM_001042862_1943947	last_intron	+
2L	1942663	1942784	NM_001042863_1943939	last_intron	+
2L	1942663	1942784	NM_001103580_1944289	last_intron	+
2L	1942663	1942784	NM_001103581_1943461	last_intron	+
2L	1942663	1942784	NM_001258915_1943818	last_intron	+
2L	1946196	1946254	NM_001032047_1945815	last_intron	-
2L	1952879	1954313	NM_001272961_1950239	last_intron	-
2L	1952879	1969952	NM_001272960_1950239	last_intron	-
2L	1974991	1975060	NM_001272963_1975413	last_intron	+
2L	1976813	1976909	NM_134789_1975463	last_intron	-
2L	1981832	1981885	NM_134790_1982099	last_intron	+
2L	1984143	1984205	NM_134791_1984514	last_intron	+
2L	1985401	1985470	NM_164445_1984512	last_intron	-
2L	1992039	1992092	NM_001014457_1991705	last_intron	-
2L	1992039	1992092	NM_164447_1991381	last_intron	-
2L	1997958	1998231	NM_001014458_1997102	last_intron	-
2L	2007053	2007134	NM_144096_2006763	last_intron	-
2L	2008541	2008672	NM_001272964_2009072	last_intron	+
2L	2008541	2008672	NM_144095_2008966	last_intron	+
2L	2029756	2029835	NM_001103582_2030536	last_intron	+
2L	2029756	2029835	NM_001272967_2030788	last_intron	+
2L	2035564	2035881	NM_144381_2032519	last_intron	-
2L	2042851	2042913	NM_001272969_2043677	last_intron	+
2L	2042851	2042913	NM_057405_2044372	last_intron	+
2L	2046218	2046427	NM_001272971_2048002	last_intron	+
2L	2047639	2047703	NM_164451_2048054	last_intron	+
2L	2057825	2057916	NM_078730_2057967	last_intron	+
2L	2059983	2061809	NM_001014459_2058859	last_intron	-
2L	2059983	2061809	NM_001272972_2059124	last_intron	-
2L	2059983	2061809	NM_001272973_2058790	last_intron	-
2L	2081066	2081131	NM_134800_2081286	last_intron	+
2L	2081066	2081134	NM_001272974_2081286	last_intron	+
2L	2129070	2129132	NM_001272975_2127309	last_intron	-
2L	2129070	2129132	NM_134801_2128212	last_intron	-
2L	2136644	2136730	NM_001032048_2137043	last_intron	+
2L	2136644	2136730	NM_164453_2137296	last_intron	+
2L	2137794	2137882	NM_001272976_2137350	last_intron	-
2L	2146813	2146885	NM_001272977_2145297	last_intron	-
2L	2146813	2146885	NM_134803_2145497	last_intron	-
2L	2150795	2150847	NM_134804_2151664	last_intron	+
2L	2154410	2154472	NM_001272978_2155389	last_intron	+
2L	2154410	2154472	NM_164456_2155105	last_intron	+
2L	2158405	2158467	NM_001272979_2156484	last_intron	-
2L	2158405	2158467	NM_001272980_2156792	last_intron	-
2L	2158405	2158467	NM_001272981_2157427	last_intron	-
2L	2190643	2190706	NM_134808_2189914	last_intron	-
2L	2190646	2190706	NM_001258916_2189914	last_intron	-
2L	2192715	2192777	NM_001103584_2192525	last_intron	-
2L	2203848	2203907	NM_001103585_2203721	last_intron	-
2L	2206731	2206799	NM_001103586_2206525	last_intron	-
2L	2210869	2210924	NM_001272985_2209946	last_intron	-
2L	2210869	2210924	NM_134810_2209574	last_intron	-
2L	2213333	2213414	NM_001201752_2212738	last_intron	-
2L	2214884	2215013	NM_001103587_2215167	last_intron	+
2L	2215456	2215514	NM_001272987_2214972	last_intron	-
2L	2215459	2215514	NM_134811_2214972	last_intron	-
2L	2216959	2217012	NM_001144295_2216503	last_intron	-
2L	2220258	2220319	NM_134812_2220625	last_intron	+
2L	2224685	2224743	NM_134813_2225544	last_intron	+
2L	2225357	2225409	NM_164463_2225544	last_intron	+
2L	2226001	2226058	NM_001103588_2225545	last_intron	-
2L	2229813	2229877	NM_001014460_2231099	last_intron	+
2L	2229813	2229877	NM_001032049_2230413	last_intron	+
2L	2229813	2229877	NM_134814_2231088	last_intron	+
2L	2232188	2232256	NM_001272988_2231106	last_intron	-
2L	2232188	2232256	NM_001272989_2231778	last_intron	-
2L	2237974	2238036	NM_134816_2237076	last_intron	-
2L	2239128	2239191	NM_164466_2238304	last_intron	-
2L	2240268	2240340	NM_164467_2239414	last_intron	-
2L	2242945	2243559	NM_001272990_2245274	last_intron	+
2L	2242945	2243559	NM_134817_2244414	last_intron	+
2L	2263755	2263815	NM_164471_2264085	last_intron	+
2L	2264042	2264096	NM_134819_2264241	last_intron	+
2L	2264420	2264482	NM_001038782_2264231	last_intron	-
2L	2287456	2287538	NM_001201753_2287025	last_intron	-
2L	2290642	2290703	NM_001272993_2290224	last_intron	-
2L	2300504	2300582	NM_001201754_2300888	last_intron	+
2L	2308531	2308580	NM_134824_2308872	last_intron	+
2L	2309290	2309515	NM_001014461_2308761	last_intron	-
2L	2309290	2309515	NM_134825_2308798	last_intron	-
2L	2356931	2357689	NM_001032399_2358944	last_intron	+
2L	2356931	2357689	NM_001272995_2358167	last_intron	+
2L	2360393	2360455	NM_001272996_2359566	last_intron	-
2L	2360393	2360455	NM_078733_2359142	last_intron	-
2L	2360393	2360459	NM_001272997_2359566	last_intron	-
2L	2368213	2368315	NM_001272999_2370137	last_intron	+
2L	2370520	2370611	NM_001273001_2370152	last_intron	-
2L	2372770	2372829	NM_001201755_2372455	last_intron	-
2L	2374809	2374865	NM_134832_2375697	last_intron	+
2L	2378275	2378335	NM_001273003_2380506	last_intron	+
2L	2378275	2378335	NM_001273004_2380268	last_intron	+
2L	2382560	2382616	NM_001273005_2383073	last_intron	+
2L	2384043	2384096	NM_134835_2384747	last_intron	+
2L	2385415	2385506	NM_001273007_2384761	last_intron	-
2L	2385445	2385506	NM_001273006_2384761	last_intron	-
2L	2385451	2385506	NM_134836_2384761	last_intron	-
2L	2407375	2407470	NM_001258919_2410662	last_intron	+
2L	2410989	2411051	NM_134838_2410624	last_intron	-
2L	2416379	2416435	NM_164483_2415434	last_intron	-
2L	2416929	2416989	NM_001103589_2416792	last_intron	-
2L	2419498	2419550	NM_001103590_2418422	last_intron	-
2L	2422029	2422085	NM_001273012_2424647	last_intron	+
2L	2422029	2422085	NM_134840_2422910	last_intron	+
2L	2455938	2457661	NM_057963_2459823	last_intron	+
2L	2490678	2490732	NM_001144297_2488197	last_intron	-
2L	2490678	2490732	NM_205892_2490220	last_intron	-
2L	2495888	2496398	NM_057692_2498846	last_intron	+
2L	2495888	2496398	NM_164489_2498454	last_intron	+
2L	2495888	2496398	NM_164490_2497357	last_intron	+
2L	2517597	2517650	NM_134842_2517102	last_intron	-
2L	2552329	2552499	NM_134843_2551145	last_intron	-
2L	2563065	2563132	NM_001273014_2562483	last_intron	-
2L	2563065	2563132	NM_134844_2562885	last_intron	-
2L	2565248	2565303	NM_134845_2564886	last_intron	-
2L	2574202	2574275	NM_001103591_2573436	last_intron	-
2L	2576572	2576636	NM_001298637_2575280	last_intron	-
2L	2579426	2579482	NM_001144298_2579201	last_intron	-
2L	2579426	2579482	NM_001273015_2579257	last_intron	-
2L	2580581	2580643	NM_001273016_2581423	last_intron	+
2L	2580581	2580643	NM_134849_2581138	last_intron	+
2L	2581838	2581897	NM_001273017_2581281	last_intron	-
2L	2581838	2581897	NM_134850_2581438	last_intron	-
2L	2592229	2592288	NM_001103592_2592773	last_intron	+
2L	2610421	2610477	NM_134852_2611283	last_intron	+
2L	2649967	2650032	NM_001273020_2648360	last_intron	-
2L	2652062	2652122	NM_175950_2648360	last_intron	-
2L	2653237	2653288	NM_134854_2653926	last_intron	+
2L	2654858	2654909	NM_078734_2655462	last_intron	+
2L	2655556	2655618	NM_001273021_2657102	last_intron	+
2L	2655556	2655618	NM_164491_2656212	last_intron	+
2L	2665198	2665255	NM_134855_2666264	last_intron	+
2L	2672020	2672075	NM_078735_2672186	last_intron	+
2L	2695994	2696052	NM_134856_2695330	last_intron	-
2L	2718924	2719001	NM_205893_2719431	last_intron	+
2L	2739297	2739361	NM_001273022_2739830	last_intron	+
2L	2741482	2741558	NM_080360_2743377	last_intron	+
2L	2744537	2744603	NM_134860_2743375	last_intron	-
2L	2744537	2744614	NM_001273026_2743375	last_intron	-
2L	2745494	2745556	NM_134861_2746944	last_intron	+
2L	2747252	2747310	NM_001273027_2746880	last_intron	-
2L	2756170	2756244	NM_001258921_2757975	last_intron	+
2L	2756170	2756244	NM_001273031_2757920	last_intron	+
2L	2756170	2756244	NM_134862_2756663	last_intron	+
2L	2763088	2763150	NM_001273032_2763889	last_intron	+
2L	2763088	2763150	NM_134864_2763610	last_intron	+
2L	2764441	2764504	NM_001273033_2763416	last_intron	-
2L	2764441	2764504	NM_134865_2764078	last_intron	-
2L	2766707	2766766	NM_001273034_2767281	last_intron	+
2L	2766707	2766766	NM_134866_2767154	last_intron	+
2L	2768226	2768285	NM_058115_2768612	last_intron	+
2L	2770400	2770459	NM_001273035_2770808	last_intron	+
2L	2770400	2770459	NM_134867_2770904	last_intron	+
2L	2771605	2771674	NM_134868_2770884	last_intron	-
2L	2772645	2779174	NM_001298639_2772327	last_intron	-
2L	2782839	2783040	NM_001273036_2780741	last_intron	-
2L	2782839	2783040	NM_164502_2779267	last_intron	-
2L	2782940	2783040	NM_205897_2779267	last_intron	-
2L	2811528	2811597	NM_001273038_2812376	last_intron	+
2L	2811528	2811597	NM_078737_2812145	last_intron	+
2L	2814179	2814242	NM_134869_2814429	last_intron	+
2L	2814589	2814637	NM_001103593_2814336	last_intron	-
2L	2816470	2816532	NM_001273039_2815970	last_intron	-
2L	2835200	2835254	NM_134873_2834887	last_intron	-
2L	2836178	2837192	NM_164504_2836079	last_intron	-
2L	2838485	2838556	NM_134874_2839547	last_intron	+
2L	2842094	2842156	NM_134875_2842638	last_intron	+
2L	2842808	2842870	NM_134876_2842589	last_intron	-
2L	2845464	2845525	NM_134877_2844601	last_intron	-
2L	2846938	2847008	NM_134878_2845926	last_intron	-
2L	2848459	2848518	NM_134879_2848997	last_intron	+
2L	2850277	2850334	NM_001273040_2849232	last_intron	-
2L	2850277	2850334	NM_134880_2848989	last_intron	-
2L	2856305	2856376	NM_078738_2856705	last_intron	+
2L	2856568	2856630	NM_001273041_2857029	last_intron	+
2L	2856568	2856630	NM_164506_2856705	last_intron	+
2L	2856672	2856768	NM_164507_2857029	last_intron	+
2L	2867230	2867336	NM_134881_2868548	last_intron	+
2L	2869254	2869322	NM_164511_2868627	last_intron	-
2L	2876410	2876783	NM_134885_2877168	last_intron	+
2L	2877389	2877610	NM_078739_2877091	last_intron	-
2L	2879879	2880043	NM_080155_2880708	last_intron	+
2L	2881320	2881381	NM_001273043_2880704	last_intron	-
2L	2881320	2881381	NM_058022_2880705	last_intron	-
2L	2952027	2952088	NM_001144300_2952511	last_intron	+
2L	2952027	2952088	NM_001144301_2953077	last_intron	+
2L	2952027	2952088	NM_078740_2954406	last_intron	+
2L	2963132	2963224	NM_001014462_2968434	last_intron	+
2L	2963132	2963224	NM_001273045_2964851	last_intron	+
2L	2970651	2970713	NM_001144304_2969773	last_intron	-
2L	2973368	2973428	NM_057456_2974858	last_intron	+
2L	2975079	2975150	NM_134887_2974859	last_intron	-
2L	2977530	2977586	NM_001298642_2978398	last_intron	+
2L	2977530	2977586	NM_134888_2978500	last_intron	+
2L	2980377	2980469	NM_001258922_2979699	last_intron	-
2L	2980377	2980469	NM_001273046_2979562	last_intron	-
2L	2989337	2989396	NM_058024_2990075	last_intron	+
2L	2990379	2990435	NM_057313_2989594	last_intron	-
2L	2997059	2997790	NM_001273047_2998726	last_intron	+
2L	2997530	2997790	NM_001144305_2998726	last_intron	+
2L	3014884	3014955	NM_134890_3016069	last_intron	+
2L	3016865	3016925	NM_001169384_3016441	last_intron	-
2L	3016865	3016925	NM_001273048_3016685	last_intron	-
2L	3019929	3019986	NM_001273049_3021506	last_intron	+
2L	3022368	3022422	NM_134893_3021309	last_intron	-
2L	3025769	3025831	NM_134894_3026439	last_intron	+
2L	3026974	3027037	NM_001273050_3026252	last_intron	-
2L	3026974	3027037	NM_134895_3026533	last_intron	-
2L	3029932	3029984	NM_134896_3030616	last_intron	+
2L	3031893	3031953	NM_001298644_3032300	last_intron	+
2L	3032486	3032550	NM_001273051_3032210	last_intron	-
2L	3037271	3037529	NM_001298646_3038793	last_intron	+
2L	3039203	3039267	NM_134901_3038826	last_intron	-
2L	3041397	3041452	NM_001273055_3041890	last_intron	+
2L	3041397	3041452	NM_134902_3041626	last_intron	+
2L	3043103	3043180	NM_001273056_3043593	last_intron	+
2L	3055313	3055376	NM_001273057_3056143	last_intron	+
2L	3055313	3055376	NM_139356_3055601	last_intron	+
2L	3067327	3067388	NM_001144306_3068177	last_intron	+
2L	3070731	3070822	NM_001042864_3068345	last_intron	-
2L	3070731	3070822	NM_001103594_3069301	last_intron	-
2L	3070731	3070822	NM_001273060_3069396	last_intron	-
2L	3145249	3145304	NM_001273062_3144953	last_intron	-
2L	3145249	3145304	NM_134906_3145130	last_intron	-
2L	3147825	3148046	NM_001273063_3146056	last_intron	-
2L	3147825	3148046	NM_057669_3146452	last_intron	-
2L	3161852	3161912	NM_078741_3162399	last_intron	+
2L	3167973	3168034	NM_001258923_3169462	last_intron	+
2L	3167973	3168034	NM_001273064_3168988	last_intron	+
2L	3173412	3173479	NM_001298647_3173205	last_intron	-
2L	3173412	3173479	NM_164529_3173283	last_intron	-
2L	3174238	3174303	NM_001298648_3174504	last_intron	+
2L	3174238	3174303	NM_134912_3174442	last_intron	+
2L	3175398	3183315	NM_001298649_3175190	last_intron	-
2L	3175398	3183315	NM_134909_3175112	last_intron	-
2L	3270794	3270852	NM_001298650_3271806	last_intron	+
2L	3276472	3276532	NM_001298651_3275800	last_intron	-
2L	3292112	3292173	NM_001258924_3291245	last_intron	-
2L	3295939	3295993	NM_134916_3294926	last_intron	-
2L	3310976	3311031	NM_134917_3311682	last_intron	+
2L	3316632	3316726	NM_134918_3317418	last_intron	+
2L	3317430	3317547	NM_001273066_3316794	last_intron	-
2L	3317684	3317912	NM_134919_3317476	last_intron	-
2L	3322756	3322815	NM_001298653_3323141	last_intron	+
2L	3326363	3326430	NM_205898_3326637	last_intron	+
2L	3329351	3329424	NM_001103597_3329792	last_intron	+
2L	3332415	3332480	NM_001298654_3332840	last_intron	+
2L	3332415	3332480	NM_134922_3332876	last_intron	+
2L	3334454	3334522	NM_134923_3334790	last_intron	+
2L	3335852	3335913	NM_079909_3334875	last_intron	-
2L	3360928	3360995	NM_001103598_3358640	last_intron	-
2L	3373691	3373780	NM_001273067_3373567	last_intron	-
2L	3373691	3373810	NM_001103602_3373567	last_intron	-
2L	3376420	3376480	NM_001273068_3375832	last_intron	-
